"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",2021,31,31,0,0,0,0,0,49,38,23,0,0,0,0,31,0
"Adrian, MI","10300",2021,90,67,23,0,0,0,0,83,61,40,0,0,27,0,63,0
"Akron, OH","10420",2021,59,47,12,0,0,0,0,74,62,33,0,0,0,6,53,0
"Albany, GA","10500",2021,59,46,13,0,0,0,0,92,70,35,0,0,0,0,59,0
"Albany-Schenectady-Troy, NY","10580",2021,90,74,16,0,0,0,0,86,56,39,0,0,54,0,36,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2021,79,78,1,0,0,0,0,61,44,34,0,0,79,0,0,0
"Altoona, PA","11020",2021,72,71,1,0,0,0,0,64,42,33,0,0,72,0,0,0
"Amarillo, TX","11100",2021,59,58,0,1,0,0,0,104,43,35,0,0,49,3,7,0
"Americus, GA","11140",2021,61,53,8,0,0,0,0,74,51,42,0,0,61,0,0,0
"Ann Arbor, MI","11460",2021,90,90,0,0,0,0,0,50,43,33,0,0,90,0,0,0
"Ardmore, OK","11620",2021,109,76,33,0,0,0,0,93,64,44,0,0,50,0,59,0
"Arkadelphia, AR","11660",2021,58,57,1,0,0,0,0,54,37,30,0,0,58,0,0,0
"Asheville, NC","11700",2021,90,83,7,0,0,0,0,67,48,35,0,0,31,13,46,0
"Ashtabula, OH","11780",2021,59,59,0,0,0,0,0,11,9,7,0,0,0,59,0,0
"Athens, OH","11900",2021,18,17,1,0,0,0,0,56,48,21,0,0,0,0,18,0
"Athens-Clarke County, GA","12020",2021,59,45,14,0,0,0,0,68,58,34,0,0,0,0,59,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2021,120,96,24,0,0,0,0,80,60,43,0,11,68,0,41,0
"Augusta-Richmond County, GA-SC","12260",2021,90,69,19,2,0,0,0,145,64,41,0,0,49,2,39,0
"Augusta-Waterville, ME","12300",2021,61,60,1,0,0,0,0,51,44,38,0,0,61,0,0,0
"Austin-Round Rock, TX","12420",2021,32,26,6,0,0,0,0,77,53,39,1,1,11,0,19,0
"Bakersfield, CA","12540",2021,32,8,13,10,1,0,0,152,143,92,0,0,0,0,30,2
"Baltimore-Columbia-Towson, MD","12580",2021,90,71,19,0,0,0,0,84,63,42,0,0,29,2,59,0
"Bangor, ME","12620",2021,120,111,9,0,0,0,0,71,49,38,0,0,67,0,53,0
"Barnstable Town, MA","12700",2021,31,31,0,0,0,0,0,38,37,33,0,0,31,0,0,0
"Bartlesville, OK","12780",2021,120,84,31,5,0,0,0,129,68,45,0,0,56,0,64,0
"Baton Rouge, LA","12940",2021,91,81,10,0,0,0,0,64,52,41,1,0,59,1,30,0
"Bay City, MI","13020",2021,90,77,13,0,0,0,0,72,56,23,0,0,0,0,90,0
"Beaumont-Port Arthur, TX","13140",2021,31,27,4,0,0,0,0,75,53,36,0,0,17,0,14,0
"Beaver Dam, WI","13180",2021,11,8,3,0,0,0,0,75,73,36,0,0,0,0,11,0
"Bellingham, WA","13380",2021,31,30,1,0,0,0,0,51,38,16,0,0,0,5,26,0
